"Payment ID","Payment Date","IO Type","Sender Amt ($)","Payment Rail","Customer Type","LIC","Sender Name","Sender Account #","Receiver Name","Receiver Account #","Status","STP?","Creation Date Time (EST)"
290229,"2025-07-04 00:00:00","OUT",16.62,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9870001005","AUTOMATION-CONS-ENTITY","9870001006","PROCESSED","STP_YES","07/04/2025 04:12:12"
290231,"2025-07-04 00:00:00","OUT",17.87,"FEDWIRE","Corporate","DRRC","AUTOMATION-CORP-ENTITY","9901020020","JohnDoe","112266","PROCESSED","STP_YES","07/04/2025 04:19:14"
290234,"2025-07-04 00:00:00","OUT",529.48,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Duncan","9901020811","PROCESSED","STP_YES","07/04/2025 04:20:29"
290235,"2025-07-04 00:00:00","OUT",18.03,"FEDWIRE","Corporate","DRRC","AUTOMATION-CORP-ENTITY","9901020020","JohnDoe","112266","PROCESSED","STP_YES","07/04/2025 04:21:42"
290246,"2025-07-04 00:00:00","OUT",200,"FEDWIRE","Consumer","CTRC","John Doe","112266","MS Clusters","200395","PROCESSED","STP_YES","07/04/2025 04:57:57"
290248,"2025-07-04 00:00:00","OUT",0.45,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9870001004","John Doe","112266","PROCESSED","STP_YES","07/04/2025 05:03:07"
290250,"2025-07-04 00:00:00","OUT",878.47,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Cliff","9901020811","PROCESSED","STP_YES","07/04/2025 05:06:12"
290251,"2025-07-04 00:00:00","OUT",165,"FEDWIRE","Consumer","BTRC","John8 Doe8","0124578970",,"","PROCESSED","STP_YES","07/04/2025 05:07:57"
290255,"2025-07-04 00:00:00","OUT",24.03,"FEDWIRE","Corporate","DRRC","AUTOMATION-CORP-ENTITY","9901020020","JohnDoe","112266","PROCESSED","STP_YES","07/04/2025 05:20:13"
290259,"2025-07-04 00:00:00","OUT",39.23,"FEDWIRE","Corporate","CTRC","AUTOMATION-BLOCK-PAYMENT","741852964","DO NOT TOUCH","7418529333","PROCESSED","STP_NO","07/04/2025 01:37:06"
290266,"2025-07-04 00:00:00","OUT",563,"FEDWIRE","Corporate","CTRC","10012 Holding Inc","11338824","Jamy Hands","24680","PROCESSED","STP_YES","07/04/2025 06:17:38"
290267,"2025-07-04 00:00:00","OUT",43.64,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9870001005","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 06:17:44"
290268,"2025-07-04 00:00:00","IN",80,"ACH","Corporate",,"FinzlyCorp1","9901020001","Greenleaf DSP3","9901020001","RETURN_INITIATED","STP_YES","07/04/2025 06:21:24"
290269,"2025-07-04 00:00:00","IN",65,"ACH","Corporate",,"FinzlyCorp1",,"Greenleaf DSP3","9901020001","PROCESSED","STP_YES","07/04/2025 06:21:24"
290271,"2025-07-04 00:00:00","IN",43.64,"FEDWIRE","Consumer","CTRC","AUTOMATION-CORP-ENTITY","9870001005","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 06:25:30"
290274,"2025-07-04 00:00:00","OUT",65,"FEDWIRE","Consumer","BTRC","John8 Doe8","0124578970",,"","PROCESSED","STP_YES","07/04/2025 06:29:35"
290276,"2025-07-04 00:00:00","OUT",43.64,"FEDWIRE","Consumer","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9870001005","PROCESSED","STP_YES","07/04/2025 06:35:49"
290277,"2025-07-04 00:00:00","OUT",200,"FEDWIRE","Consumer","BTRC","John8 Doe8","0124578970",,"","PROCESSED","STP_YES","07/04/2025 06:37:57"
290280,"2025-07-04 00:00:00","OUT",567,"FEDWIRE","Corporate","CTRC","10012 Holding Inc","11338824","Jamy Hands","24680","PROCESSED","STP_NO","07/04/2025 06:45:08"
290284,"2025-07-04 00:00:00","OUT",39.23,"FEDWIRE","Corporate","CTRC","AUTOMATION-BLOCK-PAYMENT","741852964","DO NOT TOUCH","7418529333","PROCESSED","STP_NO","07/04/2025 03:03:10"
290285,"2025-07-04 00:00:00","OUT",41.1,"FEDWIRE","Consumer","CTRC","John Doe","112266","test 9901020301","9901020301","PROCESSED","STP_YES","07/04/2025 07:17:48"
290286,"2025-07-04 00:00:00","OUT",1515,"FEDWIRE","Consumer","BTRS","John8 Doe8","0124578970",,"","PROCESSED","STP_YES","07/04/2025 07:19:43"
290287,"2025-07-04 00:00:00","IN",41.1,"FEDWIRE","Corporate","CTRC","John Doe","112266","QA3 Account 2","9901020301","PROCESSED","STP_NO","07/04/2025 07:23:30"
290289,"2025-07-04 00:00:00","OUT",345.46,"FEDWIRE","Consumer","CTRC","AUTOMATION-CONS-ENTITY","9870001006","Office Expenses Account","24680","PROCESSED","STP_NO","07/04/2025 07:33:06"
290292,"2025-07-04 00:00:00","OUT",31.05,"FEDWIRE","Consumer","CTRC","John Doe","112266","John Doe","112266","PROCESSED","STP_YES","07/04/2025 07:37:10"
290293,"2025-07-04 00:00:00","OUT",14,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 07:40:09"
290296,"2025-07-04 00:00:00","IN",31.05,"FEDWIRE","Consumer","CTRC","John Doe","112266","John Doe","112266","PROCESSED","STP_YES","07/04/2025 07:42:50"
290297,"2025-07-04 00:00:00","OUT",35.61,"FEDWIRE","Corporate","DRRC","Automation Downstream Partner","9901020008","InCorrect Downstream Partner","10056","PROCESSED","STP_YES","07/04/2025 07:46:29"
290299,"2025-07-04 00:00:00","IN",14,"FEDWIRE","Consumer","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 07:47:18"
290300,"2025-07-04 00:00:00","OUT",256.76,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9870001005","AUTOMATION-CONS-ENTITY","11338822","PROCESSED","STP_NO","07/04/2025 07:50:14"
290302,"2025-07-04 00:00:00","OUT",14,"FEDWIRE","Consumer","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 07:56:40"
290303,"2025-07-04 00:00:00","OUT",38.69,"FEDWIRE","Consumer","CTRC","John Doe","112266","John","112266","PROCESSED","STP_YES","07/04/2025 07:56:49"
290331,"2025-07-04 00:00:00","IN",14,"FEDWIRE","Corporate","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 08:04:39"
290335,"2025-07-04 00:00:00","OUT",34.43,"FEDWIRE","Consumer","CTRD","John Doe","112266","AUTOMATION-CORP-ENTITY","112266","RETURN_INITIATED","STP_YES","07/04/2025 08:23:26"
290337,"2025-07-04 00:00:00","OUT",25.54,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 08:25:42"
290339,"2025-07-04 00:00:00","IN",25.54,"FEDWIRE","Consumer","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 08:32:45"
290340,"2025-07-04 00:00:00","OUT",32.57,"FEDWIRE","Consumer","CTRC","John Doe","112266","John","112266","PROCESSED","STP_YES","07/04/2025 08:36:50"
290341,"2025-07-04 00:00:00","OUT",21.11,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","Shishui","109020803070","PROCESSED","STP_YES","07/04/2025 08:37:13"
290343,"2025-07-04 00:00:00","OUT",21.11,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","Nithu","109020803070","PROCESSED","STP_YES","07/04/2025 08:40:35"
290344,"2025-07-04 00:00:00","OUT",25.54,"FEDWIRE","Consumer","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 08:42:27"
290346,"2025-07-04 00:00:00","OUT",21.11,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","Nithu","109020803070","PROCESSED","STP_YES","07/04/2025 08:42:52"
290348,"2025-07-04 00:00:00","IN",25.54,"FEDWIRE","Corporate","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 08:50:14"
290349,"2025-07-04 00:00:00","OUT",94.25,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","Bairstow","1234567890","PROCESSED","STP_YES","07/04/2025 08:51:44"
290351,"2025-07-04 00:00:00","OUT",41.22,"FEDWIRE","Consumer","CTRC","John Doe","112266","John","112266","PROCESSED","STP_YES","07/04/2025 08:54:40"
290356,"2025-07-04 00:00:00","OUT",70.68,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","Bairstow","1234567890","PROCESSED","STP_YES","07/04/2025 09:02:07"
290357,"2025-07-04 00:00:00","OUT",15.26,"FEDWIRE","Consumer","CTRC","John Doe","112266","John","112266","PROCESSED","STP_YES","07/04/2025 09:12:34"
290359,"2025-07-04 00:00:00","OUT",21.11,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","Nithu","109020803070","PROCESSED","STP_NO","07/04/2025 09:19:13"
290360,"2025-07-04 00:00:00","OUT",21.11,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","Nithu","109020803070","PROCESSED","STP_NO","07/04/2025 09:20:38"
290361,"2025-07-04 00:00:00","OUT",32.79,"FEDWIRE","Consumer","CTRC","John Doe","112266","John","112266","PROCESSED","STP_YES","07/04/2025 09:27:01"
290362,"2025-07-04 00:00:00","OUT",39.23,"FEDWIRE","Corporate","CTRC","AUTOMATION-BLOCK-PAYMENT","741852964","DO NOT TOUCH","7418529333","PROCESSED","STP_NO","07/04/2025 05:32:44"
290364,"2025-07-04 00:00:00","OUT",46.64,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 09:36:48"
290366,"2025-07-04 00:00:00","IN",46.64,"FEDWIRE","Consumer","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 09:44:25"
290367,"2025-07-04 00:00:00","OUT",18.65,"FEDWIRE","Consumer","CTRC","John Doe","112266","John","112266","PROCESSED","STP_YES","07/04/2025 09:44:59"
290368,"2025-07-04 00:00:00","OUT",21.76,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 09:46:47"
290369,"2025-07-04 00:00:00","IN",18.65,"FEDWIRE","Consumer","CTRC","John Doe","112266","John Doe","112266","PROCESSED","STP_NO","07/04/2025 09:50:33"
290370,"2025-07-04 00:00:00","IN",21.76,"FEDWIRE","Consumer","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 09:54:09"
290371,"2025-07-04 00:00:00","OUT",46.64,"FEDWIRE","Consumer","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 09:54:13"
290372,"2025-07-04 00:00:00","IN",46.64,"FEDWIRE","Corporate","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 10:01:59"
290374,"2025-07-04 00:00:00","OUT",21.76,"FEDWIRE","Consumer","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 10:03:49"
290375,"2025-07-04 00:00:00","OUT",10.06,"FEDWIRE","Consumer","CTRC","John Doe","112266","John","112266","PROCESSED","STP_YES","07/04/2025 10:09:39"
290376,"2025-07-04 00:00:00","IN",21.76,"FEDWIRE","Corporate","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 10:11:51"
290377,"2025-07-04 00:00:00","IN",10.06,"FEDWIRE","Consumer","CTRC","John Doe","112266","John Doe","112266","PROCESSED","STP_NO","07/04/2025 10:15:45"
290385,"2025-07-04 00:00:00","OUT",23.34,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","PROCESSED","STP_YES","07/04/2025 10:31:45"
290387,"2025-07-04 00:00:00","IN",23.34,"FEDWIRE","Consumer","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","PROCESSED","STP_YES","07/04/2025 10:39:32"
290388,"2025-07-04 00:00:00","OUT",346.48,"FEDWIRE","Consumer","CTRC","AUTOMATION-CONS-ENTITY","9870001006","Office Expenses Account","24680","PROCESSED","STP_NO","07/04/2025 10:46:57"
290390,"2025-07-04 00:00:00","OUT",22.35,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","PROCESSED","STP_YES","07/04/2025 11:07:38"
290392,"2025-07-04 00:00:00","OUT",21.35,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 11:18:18"
290394,"2025-07-04 00:00:00","IN",21.35,"FEDWIRE","Consumer","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 11:25:54"
290395,"2025-07-04 00:00:00","OUT",21.35,"FEDWIRE","Consumer","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 11:35:48"
290397,"2025-07-04 00:00:00","IN",21.35,"FEDWIRE","Corporate","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 11:44:02"
290399,"2025-07-04 00:00:00","OUT",41,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 12:07:54"
290401,"2025-07-04 00:00:00","IN",41,"FEDWIRE","Consumer","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/04/2025 12:15:42"
290402,"2025-07-04 00:00:00","OUT",41,"FEDWIRE","Consumer","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 12:25:21"
290403,"2025-07-04 00:00:00","IN",41,"FEDWIRE","Corporate","CTRC","AUTOMATION-CONS-ENTITY","9870001006","AUTOMATION-CORP-ENTITY","9901020020","PROCESSED","STP_YES","07/04/2025 12:33:04"
289275,"2025-07-03 00:00:00","OUT",31.94,"FEDWIRE","Corporate","DRRC","Automation Downstream Partner","9901020008","Automation-Downstream","9901020006","PROCESSED","STP_YES","07/02/2025 02:02:16"
289276,"2025-07-03 00:00:00","OUT",39.12,"FEDWIRE","Corporate","DRRC","Automation Downstream Partner","9901020008","Automation-Downstream","9901020006","PROCESSED","STP_YES","07/02/2025 02:02:16"
289277,"2025-07-03 00:00:00","OUT",41,"FEDWIRE","Corporate","DRRC","Automation Downstream Partner","9901020008","Automation-Downstream","9901020006","PROCESSED","STP_YES","07/02/2025 02:02:16"
289278,"2025-07-03 00:00:00","OUT",43.44,"FEDWIRE","Corporate","DRRC","Automation Downstream Partner","9901020008","Automation-Downstream","9901020006","PROCESSED","STP_YES","07/02/2025 02:02:17"
289279,"2025-07-03 00:00:00","OUT",12.84,"FEDWIRE","Corporate","DRRC","Automation Downstream Partner","9901020008","Automation-Downstream","9901020006","PROCESSED","STP_YES","07/02/2025 02:02:21"
289628,"2025-07-03 00:00:00","OUT",150,"ACH","Processing Org",,"BANKA","33333330","ACH CR                ","9901020","PROCESSED","STP_YES","07/03/2025 00:36:14"
289629,"2025-07-03 00:00:00","OUT",500,"BOOK_TRANSFER","Processing Org",,"File Clearing Suspense","50000002",,"33333330","PROCESSED","STP_YES","07/03/2025 00:36:14"
289630,"2025-07-03 00:00:00","OUT",200,"ACH","Processing Org",,"BANKA","33333330","ACH DR                ","9901020","PROCESSED","STP_YES","07/03/2025 00:36:14"
289632,"2025-07-03 00:00:00","OUT",22.74,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Automation Fintech Account","9901020003","PROCESSED","STP_YES","07/03/2025 00:53:09"
289636,"2025-07-03 00:00:00","OUT",22.39,"FEDWIRE","Corporate","CTRC","Automation Downstream Partner","9901020008","Automation Downstream Partner","9901020008","PROCESSED","STP_YES","07/03/2025 01:07:03"
289637,"2025-07-03 00:00:00","OUT",13.41,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Greenleaf DSP3","9901020003","PROCESSED","STP_YES","07/03/2025 01:10:36"
289639,"2025-07-03 00:00:00","OUT",80,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","Bairstow","1234567890","PROCESSED","STP_YES","07/03/2025 01:11:49"
289640,"2025-07-03 00:00:00","OUT",24.12,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Greenleaf DSP3","9901020004","PROCESSED","STP_YES","07/03/2025 01:12:14"
289642,"2025-07-03 00:00:00","IN",22.39,"FEDWIRE","Corporate","CTRC","Automation Downstream Partner","9901020008","Automation Downstream Partner","9901020008","RETURN_INITIATED","STP_YES","07/03/2025 01:13:47"
289643,"2025-07-03 00:00:00","OUT",20.68,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020"," Automation Fintech Good Account","9901020004","PROCESSED","STP_YES","07/03/2025 01:15:16"
289645,"2025-07-03 00:00:00","OUT",98,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","Franklin Templeton","DE68100500006012620363","PROCESSED","STP_YES","07/03/2025 01:20:11"
289649,"2025-07-03 00:00:00","OUT",15.55,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","TELLER AUTOMATION","213234","PROCESSED","STP_YES","07/03/2025 01:28:55"
289650,"2025-07-03 00:00:00","OUT",17.12,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020"," Automation Fintech Good Account","9901020004","PROCESSED","STP_YES","07/03/2025 01:29:10"
289653,"2025-07-03 00:00:00","OUT",20.22,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Automation Fintech Good Account","9901020004","PROCESSED","STP_YES","07/03/2025 01:40:42"
289654,"2025-07-03 00:00:00","OUT",143.63,"SWIFT","Corporate",,"Bentley Automobiles","7890001235","sindhu","IT28C0862263730014000101421","PROCESSED","STP_YES","07/03/2025 01:43:38"
289655,"2025-07-03 00:00:00","OUT",78,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Elizabeth","9901020807","PROCESSED","STP_YES","07/03/2025 01:45:59"
289657,"2025-07-03 00:00:00","OUT",170.75,"SWIFT","Consumer",,"Steve","7890001236","Nithya","109020803070","PROCESSED","STP_YES","07/03/2025 01:48:17"
289659,"2025-07-03 00:00:00","OUT",34.17,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Automation Fintech Good Account","9901020004","PROCESSED","STP_YES","07/03/2025 01:51:04"
289662,"2025-07-03 00:00:00","OUT",528.47,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Pearly","9901020811","PROCESSED","STP_YES","07/03/2025 01:55:51"
289664,"2025-07-03 00:00:00","IN",34.17,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Greenleaf DSP3","9901020004","RETURN_INITIATED","STP_NO","07/03/2025 01:57:20"
289665,"2025-07-03 00:00:00","OUT",18.04,"FEDWIRE","Corporate","CTRC","Automation Downstream Partner","9901020008","Incorrect Downstream Partner","12","PROCESSED","STP_YES","07/03/2025 01:57:37"
289666,"2025-07-03 00:00:00","OUT",20,"ACH","Corporate",,"Greenleaf DSP3","9901020001","CHKIMG000123456       ","112233","PROCESSED","STP_YES","07/03/2025 02:00:15"
289667,"2025-07-03 00:00:00","OUT",20,"BOOK_TRANSFER","Corporate",,"Greenleaf DSP3","9901020001","File Clearing Suspense","50000002","PROCESSED","STP_YES","07/03/2025 02:00:15"
289671,"2025-07-03 00:00:00","IN",528.47,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","10012 Holding Inc","9901020811","RETURN_INITIATED","STP_NO","07/03/2025 02:07:04"
289672,"2025-07-03 00:00:00","OUT",25.46,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Automation Fintech Good Account","9901020004","PROCESSED","STP_YES","07/03/2025 02:10:10"
289676,"2025-07-03 00:00:00","OUT",20,"BOOK_TRANSFER","Corporate",,"Greenleaf DSP3","9901020001","File Clearing Suspense","50000002","PROCESSED","STP_YES","07/03/2025 02:11:27"
289681,"2025-07-03 00:00:00","OUT",20,"BOOK_TRANSFER","Corporate",,"Greenleaf DSP3","9901020001","File Clearing Suspense","50000002","PROCESSED","STP_YES","07/03/2025 02:17:26"
289684,"2025-07-03 00:00:00","OUT",22.28,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Automation Fintech Good Account","9901020004","PROCESSED","STP_YES","07/03/2025 02:22:26"
289685,"2025-07-03 00:00:00","OUT",770.33,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","Florentino","9901020811","PROCESSED","STP_YES","07/03/2025 02:22:51"
289692,"2025-07-03 00:00:00","OUT",20,"BOOK_TRANSFER","Corporate",,"Greenleaf DSP3","9901020001","File Clearing Suspense","50000002","PROCESSED","STP_YES","07/03/2025 02:32:45"
289695,"2025-07-03 00:00:00","IN",770.33,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","10012 Holding Inc","9901020811","PROCESSED","STP_NO","07/03/2025 02:33:50"
289696,"2025-07-03 00:00:00","OUT",19.2,"FEDWIRE","Corporate","CTRC","AUTOMATION-CORP-ENTITY","9901020020","AUTOMATION-CONS-ENTITY","9870001006","RETURNED","STP_YES","07/03/2025 02:34:39"
